"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS3278","Frankfort","Franklin County","KY","Frankfort Police Department","Police","The Frankfort Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.frankfort.ky.gov/467/Community-Cameras-and-Cops","","City of Frankfort","","","","","","","","","","","","",""
"AOS3279","Frederick","Frederick County","MD","Frederick Police Department","Police","The Fredrick Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.cityoffrederickmd.gov/CivicAlerts.aspx?AID=2053&ARC=2469","","City of Frederick","","","","","","","","","","","","",""
"AOS3280","Frisco","Collin County","TX","Frisco Police Department","Police","The Frisco Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.friscotexas.gov/1165/SafeCam","","Frisco","","","","","","","","","","","","",""
"AOS3281","Gaithersburg","Montgomery County","MD","Gaithersburg Police Department","Police","The Gaithersburg Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.gaithersburgmd.gov/services/police-services/security-camera-registration","","City of Gaithersburg","","","","","","","","","","","","",""
"AOS3282","Golden Valley","Hennepin County","MN","Golden Valley Police Department","Police","The Golden Valley Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.goldenvalleymn.gov/police/communityoutreach/communitycam.php","","City of Golden Valley","","","","","","","","","","","","",""
"AOS3283","Grand Pass","Josephine County","OR","Grants Pass Department of Public Safety","Police","The Grand Pass Department of Public Safety maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.grantspassoregon.gov/FormCenter/Public-Safety-6/Surveillance-Camera-Observation-Registra-81","","Grand Pass","","","","","","","","","","","","",""
"AOS3284","Phoneix","Maricopa County","AZ","Phoenix Police Department","Police","The Phoenix Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.phoenix.gov/police/virtualblockwatch-form","","Phoenix website","","","","","","","","","","","","",""
"AOS3285","Grapevine","Tarrant County","TX","Grapevine Police Department","Police","The Grapevine Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.grapevinetexas.gov/1508/Community-Camera-Program","","Grapevine Police Department","","","","","","","","","","","","",""
"AOS3286","Greenville","Greenville County","SC","Greenville Police Department","Police","The Greenville Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://greenvillesc.gov/1276/SafeWatch-Cameras","","Greenville Police Department","","","","","","","","","","","","",""
"AOS3287","Greenwood","Greenwood County","SC","Greenwood County Sheriff's Office","Sheriff","The Greenwood County Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","https://www.greenwoodcounty-sc.gov/government/departments-s-z/sheriff-s-office/online-crime-reports/camera-registration","","Greenwood County","","","","","","","","","","","","",""
"AOS3288","Gross Pointe Shores","Wayne County, Macomb County","MI","Gross Pointe Shores Department of Public Safety","Police","The Gross Pointe Shores Department of Public Safety  maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.gpshoresmi.gov/Portals/40/PDFs/form.pdf?ver=2019-08-02-133906-717","","Grosse Pointe Shores Department of Public Safety","","","","","","","","","","","","",""
"AOS3289","Harrison","Westchester County","NY","Harrison Police Department","Police","The Harrison Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.harrison-ny.gov/police/webforms/securecam","","Town/Villiage of Harrison New York","","","","","","","","","","","","",""
"AOS3290","Harrisonburg","","VA","Harrisonburg Police Department","Police","The Harrisonburg Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.harrisonburgva.gov/community-cams","","City of Harrisonburg","","","","","","","","","","","","",""
"AOS3291","Hayward","Alameda County","CA","Hayward Police Department","Police","The Hayward Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.hayward-ca.gov/police-department/programs/hayward-eyes","","Hayward Police Department","","","","","","","","","","","","",""
"AOS3292","Hillard","Franklin County","OH","Hilliard Division of Police","Police","The Hillard Division of Police maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://hilliardohio.gov/securitycamera/","","City of Hillard","","","","","","","","","","","","",""
"AOS3293","Holden","Worcester County","MA","Holden Police Department","Police","The Holden Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.holdenma.gov/sites/holden/files/uploads/camera_registry_program_terms_and_conditions.pdf","","Holden Police Department","","","","","","","","","","","","",""
"AOS3294","Hopkinton","Middlesex County","MA","Hopkinton Police Department","Police","The Hopkinton Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.hopkintonma.gov/Hopkinton%20Business%20Camera%20Registry.pdf","","Town of Hopkinton","","","","","","","","","","","","",""
"AOS3295","San Luis Obispo","San Luis Obispo County","CA","San Luis Obispo Police Department","Police","The San Luis Obispo Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://slocity.maps.arcgis.com/apps/GeoForm/index.html?appid=699eb4cc57454e199ce25c1198e680c5","","San Luis Obispo Police Department","","","","","","","","","","","","",""
"AOS3296","Huntington Beach","Orange County","CA","Huntington Beach Police Department","Police","The Huntington Beach Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.huntingtonbeachca.gov/government/departments/pd/online_services/security-camera-registration.cfm","","City of Huntington Beach","","","","","","","","","","","","",""
"AOS3297","Hurst","Tarrant County","TX","Hurst Police Department","Police","The Hurst Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.hursttx.gov/about-us/departments/police-department/the-eyes-have-it","","City of Hurst","","","","","","","","","","","","",""
"AOS3298","Jamestown","Newport County","RI","Jamestown Police Department","Police","The Jamestown Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.jamestownri.gov/town-departments/police/security-camera-registry","","Town of Jamestown","","","","","","","","","","","","",""
"AOS3299","Jasper","Dubois County","IN","Jasper Police Department","Police","The Jasper Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://survey123.arcgis.com/share/0173b6a372e9463aa59c4f3409494e81","","Jasper Police Department","","","","","","","","","","","","",""
"AOS3300","Junction City","Geary County","KS","Junction City Police Department","Police","The Junction City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.junctioncity-ks.gov/pview.aspx?id=3456&catid=0","","Junction City","","","","","","","","","","","","",""
"AOS3301","Kenmore","Erie County","NY","Kenmore Police Department","Police","The Kenmore Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.villageofkenmore.org/index.php/police/78-whats-new","","Village of Kenmore","","","","","","","","","","","","",""
"AOS3302","Kennesaw","Cobb County","GA","Kennesaw Police Department","Police","The Kennesaw Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.kennesaw-ga.gov/online-security-camera-registration-form/","","City of Kennesaw","","","","","","","","","","","","",""
"AOS3303","La Porte","‎Harris County‎","TX","La Porte Police Department","Police","The La Porte Police Department  maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://laportetx.gov/DocumentCenter/View/687/Voluntary-Home-Surveillance-Camera-Registration-PDF?bidId=","","La Porte Police Department","","","","","","","","","","","","",""
"AOS3304","Lafayette","Tippecanoe County","IN","Lafayette Police Department","Police","The Lafayette Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.lafayette.in.gov/2043/Camera-Registration","","Lafayette Police Department","","","","","","","","","","","","",""
"AOS3305","Lake Worth","Tarrant County","TX","Lake Worth Police Department","Police","The Lake Worth Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.lakeworthtx.org/police-department/pages/community-programs","","City of Lake Worth Texas","","","","","","","","","","","","",""
"AOS3306","Redding","Shasta County","CA","Shasta County Sheriff's Office","Sheriff","The Shasta County Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","https://www.co.shasta.ca.us/index/sheriff/scram","","Shast County Sheriff's Office","","","","","","","","","","","","",""
"AOS3307","Lawton","Comanche County","OK","Lawton Police Department","Police","The Lawton Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.lawtonok.gov/programs/safecam-program","","City of Lawton","","","","","","","","","","","","",""
"AOS3308","Lebanon","Grafton County","NH","Lebanon Police Department","Police","The Lebanon Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://lebanonnh.gov/FormCenter/Police-Department-14/Camera-Registration-Form-123","","City of Lebanon","","","","","","","","","","","","",""
"AOS3309","Lewisville","Denton County","TX","Lewisville Police Department","Police","The Lewisville Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.cityoflewisville.com/about-us/city-departments/police-department/become-involved-with-lpd/safecam-program","","City of Lewisville","","","","","","","","","","","","",""
"AOS3310","Liberty","Clay County","MO","Liberty Police Department","Police","The Liberty Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.libertymissouri.gov/2683/Look-Out-for-Liberty-Security-Camera-Reg","","The City of Liberty","","","","","","","","","","","","",""
"AOS3311","Newark","Licking County","OH","Licking County Sheriff's Office","Sheriff","The Licking County Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","https://lickingcounty.gov/depts/sheriff/programs_service/camera_connection.htm","","Licking County","","","","","","","","","","","","",""
"AOS3312","Los Gatos","Santa Clara County","CA","Los Gatos-Monte Sereno Police Department","Police","The Los Gatos/Monte Sereno Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.losgatosca.gov/forms.aspx?fid=122","","The Town of Los Gatos","","","","","","","","","","","","",""
"AOS3313","Lubbock","Lubbock County","TX","Lubbock Police Department","Police","The Lubbock Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://ci.lubbock.tx.us/departments/police-department/crime-safety/safecam-program","","City of Lubbock","","","","","","","","","","","","",""
"AOS3314","Manchester","St. Louis County","MO","Manchester Police Department","Police","The Manchester Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.manchestermo.gov/734/Register-Your-Home-Security-System","","The City of Manchester Missouri","","","","","","","","","","","","",""
"AOS3315","Marlborough","Middlesex County","MA","Marlborough Police Department","Police","The Marlborough Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.marlborough-ma.gov/marlborough-police-department/pages/safecam-community-video-surveillance-registration-program","","City of Marlborough","","","","","","","","","","","","",""
"AOS3316","Matthews","Mecklenburg County","NC","Matthews Police Department","Police","The Matthews Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://matthewsnc.gov/forms.aspx?fid=568","","Town of Matthews","","","","","","","","","","","","",""
"AOS3317","Salem","Polk County, Marion County","OR","Salem Police Department","Police","The Salem Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.cityofsalem.net/scram","","City of Salem","","","","","","","","","","","","",""
"AOS3318","Miami Gardens","Miami-Dade County","FL","Miami Gardens Police Department","Police","The Miami Gardens Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.miamigardens-fl.gov/680/SafeCam","","Miami Gardens Police Department","","","","","","","","","","","","",""
"AOS3319","Midland","Midland County","TX","Midland Police Department","Police","The Midland Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.midlandtexas.gov/847/Community-Camera-Program","","City of Midland","","","","","","","","","","","","",""
"AOS3320","Millville","Cumberland County","NJ","Millville Police Department","Police","The Millville Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.millvillenj.gov/DocumentCenter/View/2061/Press-Release-for-MPD-Safe-Return-and-Security-Camera-Registration","","Millville Police Department","","","","","","","","","","","","",""
"AOS3321","Missouri City","Fort Bend County","TX","Missouri City Police Department","Police","The Missouri City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.missouricitytx.gov/FormCenter/Police-10/Silent-Partner-Voluntary-Surveillance-Ca-58","","Missouri City Texas","","","","","","","","","","","","",""
"AOS3322","Mount Airy","Carroll County","MD","Mount Airy Police Department","Police","The Mount Airy Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://crimewatch.net/us/md/frederick/mount-airy-pd","","Mount Airy Police Department","","","","","","","","","","","","",""
"AOS3323","Albany","Albany County","NY","New York State Division of Homeland Security and Emergency Services","State Police","The New York State Division of Homeland Security and Emergency Services maintains a voluntary registry of private and personal surveillance cameras.","State","Camera Registry","","http://www.dhses.ny.gov/video-surveillance/","","New York State Division of Homeland Security and Emergency Services","","","","","","","","","","","","",""
"AOS3324","Norman","Cleveland County","OK","Norman Police Department","Police","The Norman Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://normanpd.normanok.gov/pd/neighborhood-watch-safecam","","Norman Police Department","","","","","","","","","","","","",""
"AOS3325","North Kansas City","Clay County","MO","North Kansas City Police Department","Police","The North Kansas City Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.nkc.org/departments/police/services_and_reports/safe_cam_program","","North Kansas City","","","","","","","","","","","","",""
"AOS3326","Ocean City","Worcester County","MD","Ocean City Police Department","Police","The Ocean City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://oceancitymd.gov/oc/surveillance-camera-registry/","","Ocean City","","","","","","","","","","","","",""
"AOS3327","Oconomowoc","Waukesha County","WI","Oconomowoc Police Department","Police","The Oconomowoc Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.oconomowoc-wi.gov/DocumentCenter/View/4602/20170530_CameraMediaRelease?bidId=","","Oconomowoc Police Department","","","","","","","","","","","","",""
"AOS3328","Dallas","Dallas County","TX","Dallas Police Department","Police","The Dallas Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.ci.dallas.or.us/871/SCRAM-Surveillance-Camera-Registration-M","","City of Dallas","","","","","","","","","","","","",""
"AOS3329","Olympia","Thurston County","WA","Olympia Police Department","Police","The Olympia Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://olympiawa.gov/city-services/police-department/camera-registry.aspx","","City of Olympia","","","","","","","","","","","","",""
"AOS3330","Pflugerville","Travis County","TX","Pflugerville Police Department","Police","The Pflugerville Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.pflugervilletx.gov/Home/Components/News/News/3046/1030?arch=1","","City of Pflugerville","","","","","","","","","","","","",""
"AOS3331","Pharr","Hidalgo County","TX","Pharr Police Department","Police","The Pharr Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://pharr-tx.gov/public-safety/police-department/camera-surveillance-registration/","","City of Pharr","","","","","","","","","","","","",""
"AOS3332","Pompton Lakes","Passaic County","NJ","Pompton Lakes Police Department","Police","The Pompton Lakes Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.pomptonlakes-nj.gov/327/Community-ShareCam","","Borough of Pompton Lakes","","","","","","","","","","","","",""
"AOS3333","Prairie Village","Johnson County","KS","Prairie Village Police Department","Police","The Prairie Village Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.missionhillsks.gov/CivicAlerts.aspx?AID=317&ARC=791","","City of Mission Hills","","","","","","","","","","","","",""
"AOS3334","Princeton","Mercer County","NJ","Princeton Police Department","Police","The Princeton Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.princetonnj.gov/resources/camera-registration","","Municipality of Princeton","","","","","","","","","","","","",""
"AOS3335","Providence","Providence County","RI","Providence Police Department","Police","The Providence Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.providenceri.gov/community-security-camera-registration-program/","","City of Providence","","","","","","","","","","","","",""
"AOS3336","Riverside","Montgomery County","OH","Riverside Police Department","Police","The Riverside Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.riversideoh.gov/police-camera-registration/","","City of Riverside","","","","","","","","","","","","",""
"AOS3337","Roanoke","Roanoke County","VA","Roanoke County Police Department","Police","The Roanoke County Police maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.daytonohio.gov/711/Dayton-SafeCam","","Roanke County","","","","","","","","","","","","",""
"AOS3338","Rochester","Olmsted County","MN","Rochester Police Department","Police","The Rochester Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.rochestermn.gov/Home/Components/News/News/487/","","City of Rochester","","","","","","","","","","","","",""
"AOS3339","Corvallis","Benton County","OR","Corvalis Police Department","Police","The Corvalis Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.corvallisoregon.gov/police/webform/surveillance-camera-registration-and-mapping-scram","","City of Corvalis","","","","","","","","","","","","",""
"AOS3340","Rockville","Montgomery County","MD","Rockville City Police Department","Police","The Rockville City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.rockvillemd.gov/2247/Security-Camera-Registration","","City of Rockville","","","","","","","","","","","","",""
"AOS3341","Salisbury","Rowan County","NC","Salisbury Police Department","Police","The Salisbury Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://salisburync.gov/Government/Communications/Newsroom/category/police-news/salisbury-pd-debuts-new-scan-camera-registration-program","","City of Salisbury","","","","","","","","","","","","",""
"AOS3342","San Jose","Santa Clara County","CA","San Jose Police Department","Police","The San Jose Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.sanjoseca.gov/your-government/city-directory/city-council/district-9/public-safety/d9-camera-rebate-program","","City of San Jose","","","","","","","","","","","","",""
"AOS3343","Sandy City","Salt Lake County","UT","Sandy City Police Department","Police","The Sandy City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.sandy.utah.gov/departments/police-department/virtual-business-watch","","Sandy City","","","","","","","","","","","","",""
"AOS3344","Seekonk","Bristol County","MA","Seekonk Police Department","Police","The Seekonk Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.seekonk-ma.gov/seekonk-police-department/pages/camera-registration","","Seekonk Massachusetts","","","","","","","","","","","","",""
"AOS3345","Seguin","Guadalupe County","TX","Seguin Police Department","Police","The Seguin Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.seguintexas.gov/departments/police/identity_theft_prevention_and_tips.php","","City of Seguin","","","","","","","","","","","","",""
"AOS3346","Simi Valley","Ventura County","CA","Simi Valley Police Department","Police","The Simi Valley Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.simivalley.org/departments/police-department/services/security-camera-registry-safecam-941","","City of Simi Valley","","","","","","","","","","","","",""
"AOS3347","South Bend","St. Joseph County","IN","South Bend Police Department","Police","The South Bend Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://police.southbendin.gov/","","City of South Bend","","","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","",""
"AOS3348","Springfield","Greene County","MO","Springfield Police Department","Police","The Springfield Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.springfieldmo.gov/5085/Camera-Location-Registration","","City of Springfield","","","","","","","","","","","","",""
"AOS3349","Roseville","Placer County","CA","Roseville Police Department","Police","The Roseville Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.roseville.ca.us/government/departments/police_department/community_services/keep_watch_-_surveillance_camera_registry","","City of Roseville","","","https://roseville.maps.arcgis.com/apps/GeoForm/index.html?appid=f627fabb07574247bd267ef317520b10","","City of Roseville","","","","","","","",""
"AOS3350","Lansing","Eaton County, Clinton County, Ingham County","MI","Lansing Police Department","Police","The Lansing Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.lansingmi.gov/DocumentCenter/View/4500/SCRAM-Information?bidId=","","Lansing Police Department","","","","","","","","","","","","",""
"AOS3351","Springfield","Clark County","OH","Springfield Police Division","Police","The Springfield Police Division maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://springfieldohio.gov/springfield-services/police/","","City of Springfield","","","","","","","","","","","","",""
"AOS3352","Stamford","Fairfield County","CT","Stamford Police Department","Police","The Stamford Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.stamfordct.gov/police/webforms/secure-camera-registration-information","","Stamford Police","","","","","","","","","","","","",""
"AOS3353","Canton","Stark County","OH","Stark County Sheriff's Office","Sheriff","The Stark County Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","https://www.starkcountyohio.gov/sheriff/resources/security-camera-registration","","Stark County","","","","","","","","","","","","",""
"AOS3354","Stoughton","Norfolk County","MA","Stoughton Police Department","Police","The Stoughton Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.stoughton.org/sites/stoughtonma/files/uploads/voluntary_camera_registry_program.pdf","","Stoughton Police Department","","","","","","","","","","","","",""
"AOS3355","Yaphank","Suffolk County","NY","Suffolk County Police Department","Police","The Suffolk County Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://apps2.suffolkcountyny.gov/scpd/securitycamerareg/","","Suffolk County Police Department","","","","","","","","","","","","",""
"AOS3356","Surf City","Pender County","NC","Surf City Police Department","Police","The Surf City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.surfcitync.gov/2209/Video-Camera-Enrollment","","Surf City","","","","","","","","","","","","",""
"AOS3357","Troy","Rensselaer County","NY","Troy Police Department","Police","The Troy Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","http://www.troyny.gov/departments/police-department/safecam/","","City of Troy","","","","","","","","","","","","",""
"AOS3358","Valparaiso","Porter County","IN","Valparaiso Police Department","Police","The Valparaiso Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.ci.valparaiso.in.us/1623/SafeCam-Partner","","Valparaiso Police Department","","","","","","","","","","","","",""
"AOS3359","Oak Lawn","Cook County","IL","Oak Lawn Police Department","Police","The Villiage of Oak Lawn Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://oaklawn.registry.cam/login","","Village of Oak Lawn","","","","","","","","","","","","",""
"AOS3360","Walpole","Norfolk County","MA","Walpole Police Department","Police","The Walpole Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://walpolepd.com/?reload","","Walpole Police Department","","","","","","","","","","","","",""
"AOS3361","Milton","Fulton County","GA","Milton Police Department","Police","The Milton Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.cityofmiltonga.us/government/police/-security-camera-registration-and-mapping/","","City of Milton","","","","","","","","","","","","",""
"AOS3362","West Allis","Milwaukee County","WI","West Allis Police Department","Police","The West Allis Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.westalliswi.gov/surveillancecameras","","City of West Allis","","","","","","","","","","","","",""
"AOS3363","Willingboro","Burlington County","NJ","Willingboro Police Department","Police","The Willingboro Police Department  maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.willingboronj.gov/police/police-announcements/515-register-your-surveillance-camera","","Willingboro Township","","","","","","","","","","","","",""
"AOS3364","Windcrest","Bexar County","TX","Windcrest Police Department","Police","The Windcrest Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.windcrest-tx.gov/DocumentCenter/View/2804/Camera-Registration-Form","","Windcrest Police Department","","","","","","","","","","","","",""
"AOS3365","Yakima","Yakima County","WA","Yakima Police Department","Police","The Yakima Police Department's SafeCam program is a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://gis.yakimawa.gov/portal/apps/GeoForm/index.html?appid=6e7abf31b6cb4a0bafe75c387d81b543","","City of Yakima","","","","","","","","","","","","",""
"AOS3366","Yorktown","York County","VA","York Poquoson Sheriff's Office","Sheriff","The York Poquoson Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","https://www.yorkcounty.gov/FormCenter/Sheriffs-Office-6/Security-Camera-Registration-91","","County Virginia","","","","","","","","","","","","",""
"AOS3367","Zionsville","Boone County","IN","Zionsville Police Department","Police","The Zionsville Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.zionsville-in.gov/491/Citizens-Surveillance-Camera-Program","","City of Zionsville","","","","","","","","","","","","",""
"AOS3368","Keizer","Marion County","OR","Keizer Police Department","Police","The Keizer Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://www.keizer.org/surveillance-camera-registration-and-mapping-1","","City of Keizer","","","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","",""
"AOS3369","Woodburn","Marion County","OR","Woodburn Police Department","Police","The Woodburn Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.woodburn-or.gov/police/webform/wpd-surveillance-camera-registration","","City of Wood Burn","","","","","","","","","","","","",""
"AOS3370","Cleveland","Cuyahoga County","OH","Cuyahoga County Prosecutor's Office","District Attorney","The Cuyahoga County Prosecutor's Office maintains a voluntary registry of private and personal surveillance cameras.","County","Camera Registry","","http://prosecutor.cuyahogacounty.us/en-US/Surveillance-Camera-Mapping-Project.aspx","","Cuyahoga County Office of the Prosecuter","","","","","","","","","","","","",""
"AOS3371","Willowick","Lake County","OH","Willowick Police Department","Police","The Willowick Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.cityofwillowick.com/scram/","","City of Willowick","","","","","","","","","","","","",""
"AOS3372","Novato","Marin County","CA","Novato Police Department","Police","The Novato Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.novato.org/government/police-department/community-programs/surveillance-camera-registry-and-monitoring/scram-faqs","","City of Novato","","","","","","","","","","","","",""
"AOS3373","Walnut Creek","Contra Costa County","CA","Walnut Creek Police Department","Police","The Walnut Creek Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://www.walnut-creek.org/departments/public-safety/police/video-surveillance-camera-registration","","City of Walnut Creek","","","","","","","","","","","","",""
"AOS3374","Midwest City","Oklahoma County","OK","Midwest City Police Department","Police","The Midwest City Police Department maintains a voluntary registry of private and personal surveillance cameras.","Municipal","Camera Registry","","https://midwestcityok.org/924/Camera-Registration-Program","","Midwest City","","","","","","","","","","","","",""
